Transaction_ID,Date,Customer_ID,Customer_Age,Gender,City_Area,Product_ID,Product_Name,Product_Category,Quantity,Unit_Price,Discount,Total_Amount,Payment_Method,Purchase_Channel
TXN-00001,2025-02-24,2ed50526-49b5-4f1f-bfe9-c04965ebfc85,30,Male,Jumeirah,CLO-510,Jacket,Clothing,4,299.63,43.52,1155.0,Wallet,Online
TXN-00002,2025-07-20,9b852a77-3d12-4eaf-9701-bbea428410e8,38,Female,Dubai Marina,ELE-979,Tablet,Electronics,2,350.05,48.46,651.64,Cash,Online
TXN-00003,2025-04-01,db80fcca-91d1-4142-bde9-360674c3a607,45,Male,Bur Dubai,GRO-495,Eggs,Groceries,2,121.77,31.64,211.9,Cash,In-Store
TXN-00004,2025-03-02,58ebb932-3777-49e6-901c-a0991dc096cf,61,Female,Deira,HOM-889,Rug,Home Decor,1,416.91,24.26,392.65,Cash,Online
TXN-00005,2025-04-27,2a5c57e0-27b2-4e62-9730-dd660cd34aa8,23,Male,Dubai Marina,CLO-339,Jeans,Clothing,3,91.7,2.28,272.82,Cash,In-Store
TXN-00006,2025-04-04,3152df8c-dcfa-4b6d-a986-b9e26b8ae198,27,Female,Jumeirah,CLO-766,Dress,Clothing,5,174.02,41.45,828.65,Card,Online
TXN-00007,2025-06-10,57f5dabb-484f-4c5e-8c88-ea3f02260c2b,59,Male,Dubai Marina,BEA-856,Nail Polish,Beauty,3,141.53,26.12,398.47,Wallet,Online
TXN-00008,2025-04-11,633b1b37-5d26-4a41-845e-164619a36c4a,38,Male,Deira,HOM-450,Wall Art,Home Decor,4,325.18,25.64,1275.08,Cash,In-Store
TXN-00009,2025-03-03,a15d1f8f-c4c2-48ab-81e5-b1d166ab39b9,23,Male,Jumeirah,BEA-198,Perfume,Beauty,1,493.21,7.25,485.96,Cash,Online
TXN-00010,2025-05-07,13ea418d-3c36-4a2a-a8bd-e624904a2372,42,Female,Deira,BEA-793,Perfume,Beauty,2,34.67,14.8,54.54,Wallet,Online
TXN-00011,2025-07-04,93f77ebd-48ce-4380-b615-f782a59c667d,41,Female,Jumeirah,HOM-983,Rug,Home Decor,3,354.11,36.85,1025.48,Cash,Online
TXN-00012,2025-02-06,019bfec2-4a81-4f98-abe8-b222a51fa976,56,Male,Jumeirah,CLO-774,Dress,Clothing,5,85.96,39.03,390.77,Card,Online
TXN-00013,2025-07-17,8a48065b-3167-47b1-9cdf-0ffd4d576b47,55,Male,Bur Dubai,ELE-727,Charger,Electronics,4,489.71,17.48,1941.36,Card,Online
TXN-00014,2025-03-10,489ea6cf-14a4-4254-823f-3ba1c444229f,65,Female,Deira,HOM-794,Lamp,Home Decor,5,48.41,6.52,235.53,Cash,In-Store
TXN-00015,2025-02-06,83957cec-79f5-42da-a3f0-9b888f73df98,40,Female,Jumeirah,CLO-858,Dress,Clothing,2,292.95,34.67,551.23,Card,Online
TXN-00016,2025-03-22,4baa121f-8ef8-4161-b4ed-e8d849b6c5ce,22,Male,Deira,GRO-173,Fruits,Groceries,1,279.18,11.16,268.02,Cash,Online
TXN-00017,2025-02-13,b1d3b392-ff50-4d3d-9177-8b8b4abaeef7,59,Female,Al Barsha,HOM-718,Wall Art,Home Decor,5,456.55,1.73,2281.02,Wallet,In-Store
TXN-00018,2025-02-06,844e0684-8832-415c-84cc-459da53aa123,48,Female,Deira,HOM-302,Cushion,Home Decor,4,316.71,17.55,1249.29,Wallet,In-Store
TXN-00019,2025-06-15,b9b31e06-d636-4ee7-b945-f243b84a53d8,35,Male,Jumeirah,HOM-432,Cushion,Home Decor,2,129.14,16.96,241.32,Card,Online
TXN-00020,2025-05-25,9054618e-35a8-4bcf-84c3-6c9462213127,61,Male,Deira,ELE-244,Smartphone,Electronics,3,233.86,35.77,665.81,Card,In-Store
TXN-00021,2025-02-04,67ea94e4-b3af-46e1-a9c4-e4c1248b6cf6,31,Female,Bur Dubai,CLO-670,Jacket,Clothing,4,88.43,40.73,312.99,Card,In-Store
TXN-00022,2025-01-30,5f436129-bca3-4901-a010-c11b63728525,34,Female,Al Barsha,ELE-319,Smartphone,Electronics,1,75.75,38.85,36.9,Cash,Online
TXN-00023,2025-07-03,e99b4a45-9a52-4514-8298-4aa6383ac891,26,Male,Jumeirah,HOM-764,Curtains,Home Decor,4,472.84,1.93,1889.43,Wallet,Online
TXN-00024,2025-04-16,3167496d-b441-456b-adb2-6eef20f97dd8,39,Female,Bur Dubai,ELE-915,Tablet,Electronics,4,376.14,4.27,1500.29,Wallet,In-Store
TXN-00025,2025-06-23,35c12f1f-bfee-4011-bc7a-64b4b7eef9e9,27,Female,Bur Dubai,GRO-125,Eggs,Groceries,5,264.9,37.39,1287.11,Cash,Online
TXN-00026,2025-06-26,0338d964-55c8-4e05-ab6c-0ab473ce70b6,22,Female,Dubai Marina,BEA-613,Shampoo,Beauty,1,65.73,18.67,47.06,Cash,In-Store
TXN-00027,2025-02-16,b3525786-84a6-4088-8d23-1e8967b1c273,40,Male,Dubai Marina,GRO-924,Milk,Groceries,2,52.14,5.21,99.07,Wallet,Online
TXN-00028,2025-03-19,d386d3fb-5e03-412f-9ef1-e6ff92aa5488,40,Male,Bur Dubai,BEA-247,Foundation,Beauty,5,457.7,17.68,2270.82,Card,Online
TXN-00029,2025-03-20,de106942-6926-4677-a53e-58cbb2100414,30,Female,Dubai Marina,GRO-120,Bread,Groceries,4,83.35,16.29,317.11,Cash,In-Store
TXN-00030,2025-05-10,1044201d-f2fa-4b91-9cfc-bb8a88a57887,58,Male,Jumeirah,CLO-912,Jeans,Clothing,1,496.07,39.56,456.51,Wallet,In-Store
TXN-00031,2025-04-28,74bae2e5-4489-466a-a24d-7dabf6c58585,40,Male,Dubai Marina,GRO-569,Eggs,Groceries,2,453.11,12.95,893.27,Card,In-Store
TXN-00032,2025-01-31,c71bd0fe-8071-4e96-8eb8-6ef97c0e7b29,23,Male,Dubai Marina,ELE-883,Tablet,Electronics,5,486.59,43.59,2389.36,Wallet,Online
TXN-00033,2025-07-09,673f33e8-6f8a-4011-a933-4d5b87a8d346,42,Female,Bur Dubai,GRO-289,Fruits,Groceries,5,242.02,5.35,1204.75,Card,In-Store
TXN-00034,2025-03-16,6a921e57-4863-4591-974b-3e0013e453e0,25,Male,Bur Dubai,HOM-656,Curtains,Home Decor,5,458.22,16.41,2274.69,Cash,Online
TXN-00035,2025-01-26,1825e196-56e3-4cdd-a8b1-67754fb476f9,23,Female,Jumeirah,GRO-353,Eggs,Groceries,4,299.85,29.41,1169.99,Cash,Online
TXN-00036,2025-01-25,4390c1a7-9b96-4033-a204-7936f941ce67,24,Male,Deira,ELE-547,Headphones,Electronics,5,245.2,23.8,1202.2,Card,In-Store
TXN-00037,2025-06-27,53331c4f-8ede-4604-8c34-072e51298a9a,65,Female,Bur Dubai,HOM-981,Rug,Home Decor,4,486.39,3.64,1941.92,Cash,Online
TXN-00038,2025-03-16,8be6f023-0c2a-4ab1-a62a-0fd174e6fb3b,55,Male,Dubai Marina,GRO-320,Eggs,Groceries,2,113.44,48.22,178.66,Wallet,Online
TXN-00039,2025-03-02,8413e49d-6d6a-400b-813d-6c0066d8695a,23,Male,Jumeirah,BEA-273,Perfume,Beauty,4,66.32,47.15,218.13,Card,In-Store
TXN-00040,2025-07-10,bddb7931-2d7a-4712-955b-afe26619a823,31,Male,Dubai Marina,BEA-873,Lipstick,Beauty,1,221.11,2.82,218.29,Wallet,In-Store
TXN-00041,2025-06-20,5a337f46-afc2-4e1e-bda7-75a722785520,26,Male,Jumeirah,ELE-244,Headphones,Electronics,4,212.8,30.8,820.4,Wallet,Online
TXN-00042,2025-05-23,d2501f18-1655-4fea-b796-b44743d022de,62,Female,Dubai Marina,CLO-977,Dress,Clothing,4,199.47,16.39,781.49,Cash,Online
TXN-00043,2025-05-22,e682c43c-52ee-427f-9d83-cb5c2dd999f7,22,Male,Al Barsha,ELE-116,Charger,Electronics,3,162.05,7.97,478.18,Wallet,Online
TXN-00044,2025-04-05,a529cb74-4721-4fe2-a3d4-a8c8af334fb4,41,Female,Jumeirah,BEA-387,Foundation,Beauty,1,381.56,28.3,353.26,Cash,Online
TXN-00045,2025-03-07,55bc3d60-79f2-4556-b80f-522572bee2a2,40,Male,Jumeirah,CLO-459,Shoes,Clothing,3,360.61,35.04,1046.79,Card,In-Store
TXN-00046,2025-01-28,aafb94a9-d0ef-4817-bb1d-db7b64f33d6f,54,Male,Jumeirah,HOM-533,Rug,Home Decor,2,495.83,29.67,961.99,Cash,In-Store
TXN-00047,2025-04-04,91f998f8-c6f3-488f-867c-eb8374e13bca,56,Female,Dubai Marina,BEA-197,Shampoo,Beauty,4,288.91,49.37,1106.27,Cash,In-Store
TXN-00048,2025-07-22,bb480f35-a1d3-4e32-9ef0-7a17f39ea346,19,Male,Deira,CLO-191,Dress,Clothing,2,245.06,33.04,457.08,Cash,In-Store
TXN-00049,2025-03-16,5cfd92ec-e814-4710-a4f9-37d5eac8d5a6,40,Male,Deira,CLO-596,Jacket,Clothing,1,153.22,48.02,105.2,Card,Online
TXN-00050,2025-07-10,8627dac9-7c9c-4eb6-9da6-6a1ecdbc8bee,41,Female,Dubai Marina,CLO-365,Jacket,Clothing,5,313.0,31.56,1533.44,Card,Online
TXN-00051,2025-05-25,3ca4fde7-df1e-47b3-b6f2-6d9c6d54795c,59,Female,Jumeirah,HOM-209,Wall Art,Home Decor,5,195.65,29.17,949.08,Card,Online
TXN-00052,2025-07-02,a003886f-4e53-4159-adfb-765520b0f442,58,Female,Deira,HOM-526,Cushion,Home Decor,4,208.96,35.88,799.96,Cash,In-Store
TXN-00053,2025-01-30,ccd1c523-ca34-4258-99c8-38175de448a6,35,Female,Bur Dubai,ELE-903,Tablet,Electronics,3,19.98,39.0,20.94,Cash,In-Store
TXN-00054,2025-07-17,6e0d237f-6cc8-4690-a46f-6c01b3f308ae,60,Female,Al Barsha,GRO-446,Fruits,Groceries,5,49.88,26.11,223.29,Wallet,In-Store
TXN-00055,2025-05-24,78b9a7f4-6990-44bb-9015-86c63c5e6fa8,31,Male,Jumeirah,ELE-723,Laptop,Electronics,5,35.26,18.47,157.83,Wallet,In-Store
TXN-00056,2025-05-03,a846db22-2f1d-4b49-93e8-94f858d7f669,44,Female,Jumeirah,BEA-413,Nail Polish,Beauty,1,218.99,33.32,185.67,Cash,Online
TXN-00057,2025-04-09,77b8c4ad-9f62-406e-9de2-ddbe449f349b,24,Female,Deira,ELE-978,Charger,Electronics,3,499.26,40.74,1457.04,Wallet,In-Store
TXN-00058,2025-04-10,4ee4c7c6-533a-4def-b681-a57ccd1f8a7d,49,Male,Jumeirah,ELE-836,Tablet,Electronics,1,292.75,47.29,245.46,Wallet,Online
TXN-00059,2025-06-20,a4fd0a3e-e4e0-4f84-97e6-bea72405ab94,51,Male,Dubai Marina,GRO-943,Fruits,Groceries,3,200.29,39.69,561.18,Cash,In-Store
TXN-00060,2025-05-18,042f5846-e706-45ed-8036-27856b2bf2e1,60,Female,Jumeirah,HOM-340,Rug,Home Decor,2,252.29,12.9,491.68,Wallet,In-Store
TXN-00061,2025-02-20,458bcbb3-7287-4e8d-b941-a118cc05a12f,24,Male,Al Barsha,BEA-738,Nail Polish,Beauty,1,260.3,40.14,220.16,Cash,In-Store
